# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
7511	3	1065106	177	1.662e-4	0.4851
7513	2	532410	-519	-9.748e-4	-1.4226
7517	1	266063	982	3.691e-3	2.6924
7518	4	1064114	-855	-8.035e-4	-2.3443
7519	2	531985	-462	-8.684e-4	-1.2668
7521	3	1063689	-1372	-1.290e-3	-3.7626
7522	2	265887	-104	-3.911e-4	-0.2852
7523	1	265851	664	2.498e-3	1.8212
7526	3	531490	985	1.853e-3	2.7022
7527	3	1062842	-551	-5.184e-4	-1.5117
7529	1	265639	718	2.703e-3	1.9701
7530	4	1062417	1696	1.596e-3	4.6540
7531	2	531138	255	4.801e-4	0.6998
7534	2	265463	-668	-2.516e-3	-1.8335
7535	3	1061713	952	8.967e-4	2.6132
7537	1	265357	446	1.681e-3	1.2244
7538	2	265323	164	6.181e-4	0.4503
7539	3	1061148	-155	-1.461e-4	-0.4256
7541	1	265217	200	7.541e-4	0.5492
7543	2	530294	-627	-1.182e-3	-1.7220
7545	3	1060305	-442	-4.169e-4	-1.2141
7547	1	265005	-112	-4.226e-4	-0.3077
7549	1	264935	312	1.178e-3	0.8572
7553	3	1059182	1	9.441e-7	0.0027
7554	3	529521	562	1.061e-3	1.5446
7555	2	529451	-38	-7.177e-5	-0.1044
7557	3	1058621	-1936	-1.829e-3	-5.3221
7558	2	264621	180	6.802e-4	0.4949
7559	1	264585	-282	-1.066e-3	-0.7753
7561	1	264515	636	2.404e-3	1.7488
7562	3	528962	-577	-1.091e-3	-1.5867
7563	2	528890	-161	-3.044e-4	-0.4428
7565	3	1057502	39	3.688e-5	0.1073
7566	4	1057362	461	4.360e-4	1.2680
7567	3	1057222	-13	-1.230e-5	-0.0358
7570	3	528401	-1406	-2.661e-3	-3.8684
7571	2	528331	-176	-3.331e-4	-0.4843
7573	1	264097	-136	-5.150e-4	-0.3743
7574	3	528123	206	3.901e-4	0.5669
7577	1	263957	398	1.508e-3	1.0955
7579	3	1055548	631	5.978e-4	1.7371
7582	3	527565	876	1.660e-3	2.4121
7583	1	263747	410	1.555e-3	1.1290
7585	3	1054714	465	4.409e-4	1.2807
7586	2	263643	-128	-4.855e-4	-0.3525
7589	1	263539	536	2.034e-3	1.4766
7590	5	2108038	961	4.559e-4	2.6476
7591	1	263469	518	1.966e-3	1.4272
7593	2	526801	796	1.511e-3	2.1934
7594	2	263365	-566	-2.149e-3	-1.5597
7597	2	526522	-5	-9.496e-6	-0.0138
7598	3	526454	-911	-1.730e-3	-2.5111
7599	3	1052770	877	8.330e-4	2.4176
7601	2	526246	-967	-1.838e-3	-2.6660
7602	4	1052354	243	2.309e-4	0.6700
7603	1	263055	-422	-1.604e-3	-1.1636
7606	2	262951	-334	-1.270e-3	-0.9211
7607	1	262915	12	4.564e-5	0.0331
7609	2	525694	289	5.497e-4	0.7972
7610	3	525625	1016	1.933e-3	2.8028
7611	3	1051110	-463	-4.405e-4	-1.2773
7613	2	525417	-632	-1.203e-3	-1.7438
7615	2	525278	-1537	-2.926e-3	-4.2414
7617	2	525141	474	9.026e-4	1.3082
7618	3	525073	-148	-2.819e-4	-0.4085
7619	2	525002	427	8.133e-4	1.1786
7621	1	262433	-420	-1.600e-3	-1.1595
7622	3	524797	162	3.087e-4	0.4472
7626	4	1049043	338	3.222e-4	0.9334
7627	2	524454	-1231	-2.347e-3	-3.3997
7629	2	524315	1018	1.942e-3	2.8118
7630	4	1048492	3	2.861e-6	0.0083
7631	2	524178	29	5.532e-5	0.0801
7633	2	524041	620	1.183e-3	1.7129
7634	3	523971	174	3.321e-4	0.4808
7635	3	1047805	388	3.703e-4	1.0721
7637	2	523766	491	9.374e-4	1.3569
7638	4	1047394	373	3.561e-4	1.0309
7639	1	261815	202	7.715e-4	0.5583
7642	2	261711	-452	-1.727e-3	-1.2495
7643	1	261677	-86	-3.286e-4	-0.2378
7645	3	1046436	1631	1.559e-3	4.5096
7646	2	261575	-682	-2.607e-3	-1.8858
7647	2	523081	1208	2.309e-3	3.3405
7649	1	261473	-70	-2.677e-4	-0.1936
7651	2	522807	-584	-1.117e-3	-1.6154
7653	2	522671	-302	-5.778e-4	-0.8355
7654	3	522602	1855	3.550e-3	5.1320
7655	2	522534	817	1.564e-3	2.2604
7657	3	1044794	-471	-4.508e-4	-1.3033
7658	3	522330	-555	-1.063e-3	-1.5359
7661	2	522125	-422	-8.082e-4	-1.1680
7662	3	522057	866	1.659e-3	2.3971
7663	2	521989	-620	-1.188e-3	-1.7163
7665	4	2087410	-1007	-4.824e-4	-2.7880
7666	2	260893	-498	-1.909e-3	-1.3788
7667	3	1043433	-24	-2.300e-5	-0.0665
7669	1	260791	-16	-6.135e-5	-0.0443
7670	4	1043025	-326	-3.126e-4	-0.9028
7671	2	521445	46	8.822e-5	0.1274
7673	1	260655	184	7.059e-4	0.5097
7674	3	521241	-176	-3.377e-4	-0.4876
7678	3	520969	-1270	-2.438e-3	-3.5191
7679	2	520902	-557	-1.069e-3	-1.5435
7681	1	260383	372	1.429e-3	1.0310
7682	3	520698	1067	2.049e-3	2.9573
7683	3	1041260	-1455	-1.397e-3	-4.0330
7685	3	1040989	1172	1.126e-3	3.2490
7687	1	260179	-118	-4.535e-4	-0.3272
7689	3	1040446	429	4.123e-4	1.1896
7690	3	520157	720	1.384e-3	1.9966
7691	1	260045	-172	-6.614e-4	-0.4770
7694	2	259943	-280	-1.077e-3	-0.7767
7697	2	519683	88	1.693e-4	0.2441
7698	3	519615	-114	-2.194e-4	-0.3163
7699	1	259773	336	1.293e-3	0.9323
7701	3	1038826	-1091	-1.050e-3	-3.0276
7702	2	259673	64	2.465e-4	0.1776
7703	1	259639	-382	-1.471e-3	-1.0602
7705	3	1038287	-1064	-1.025e-3	-2.9534
7706	2	259539	220	8.477e-4	0.6107
7707	3	1038018	657	6.329e-4	1.8239
7709	2	518874	-595	-1.147e-3	-1.6520
7710	4	1037614	69	6.650e-5	0.1916
7711	2	518739	280	5.398e-4	0.7775
7714	4	1037076	1629	1.571e-3	4.5244
7715	2	518470	-1403	-2.706e-3	-3.8970
7717	1	259169	-44	-1.698e-4	-0.1222
7718	3	518270	-111	-2.142e-4	-0.3084
7719	3	1036404	341	3.290e-4	0.9474
7721	2	518067	-874	-1.687e-3	-2.4286
7723	1	258967	174	6.719e-4	0.4836
7726	2	258867	12	4.636e-5	0.0334
7727	1	258833	44	1.700e-4	0.1223
7729	2	517531	-268	-5.178e-4	-0.7451
7730	3	517465	-944	-1.824e-3	-2.6246
7733	3	1034527	532	5.142e-4	1.4794
7734	3	517197	1052	2.034e-3	2.9256
7735	4	2068520	2029	9.809e-4	5.6430
7737	2	516997	274	5.300e-4	0.7621
7738	3	516930	481	9.305e-4	1.3380
7739	2	516862	1301	2.517e-3	3.6193
7741	1	258365	386	1.494e-3	1.0740
7743	3	1033190	2089	2.022e-3	5.8129
7745	2	516462	857	1.659e-3	2.3850
7746	3	516395	-826	-1.600e-3	-2.2989
7747	2	516329	554	1.073e-3	1.5420
7751	2	516062	611	1.184e-3	1.7011
7753	1	257965	-116	-4.497e-4	-0.3230
7754	2	257931	-634	-2.458e-3	-1.7654
7755	4	2063185	2630	1.275e-3	7.3240
7757	1	257831	-640	-2.482e-3	-1.7825
7759	1	257765	502	1.948e-3	1.3983
7761	3	1030795	-862	-8.362e-4	-2.4014
7762	2	257665	242	9.392e-4	0.6742
7763	2	515265	-914	-1.774e-3	-2.5466
7765	2	515133	-616	-1.196e-3	-1.7165
7766	3	515066	-141	-2.738e-4	-0.3929
7769	2	514866	-1065	-2.068e-3	-2.9685
7770	5	2059201	-2242	-1.089e-3	-6.2495
7771	2	514734	-563	-1.094e-3	-1.5694
7773	2	514602	795	1.545e-3	2.2165
7777	3	1028675	212	2.061e-4	0.5912
7778	2	257135	36	1.400e-4	0.1004
7779	2	514205	-800	-1.556e-3	-2.2313
7781	2	514073	494	9.610e-4	1.3780
7782	3	514007	-444	-8.638e-4	-1.2386
7783	2	513942	-1201	-2.337e-3	-3.3506
7786	3	513742	-287	-5.586e-4	-0.8008
7787	2	513678	-299	-5.821e-4	-0.8344
7789	1	256773	238	9.269e-4	0.6642
7790	4	1026957	-1204	-1.172e-3	-3.3604
7793	1	256641	354	1.379e-3	0.9882
7795	2	513149	462	9.003e-4	1.2899
7797	3	1026036	7	6.822e-6	0.0195
7798	3	512953	-680	-1.326e-3	-1.8989
7799	2	512886	-499	-9.729e-4	-1.3935
7801	2	512754	1037	2.022e-3	2.8964
7802	3	512689	678	1.322e-3	1.8938
7805	3	1024983	-1462	-1.426e-3	-4.0845
7806	3	512426	757	1.477e-3	2.1150
7807	2	512361	526	1.027e-3	1.4697
7809	3	1024460	679	6.628e-4	1.8974
7810	4	1024327	696	6.795e-4	1.9451
7811	2	512098	643	1.256e-3	1.7971
7813	2	511967	1534	2.996e-3	4.2878
7814	2	255951	-104	-4.063e-4	-0.2907
7815	3	1023673	1448	1.415e-3	4.0479
7817	1	255853	832	3.252e-3	2.3262
7818	3	511639	-2254	-4.405e-3	-6.3023
7819	2	511575	-898	-1.755e-3	-2.5110
7822	2	255689	-304	-1.189e-3	-0.8502
7823	1	255657	430	1.682e-3	1.2027
7826	4	1022234	-217	-2.123e-4	-0.6071
7827	2	511051	328	6.418e-4	0.9176
7829	1	255461	-138	-5.402e-4	-0.3861
7831	2	510790	-115	-2.251e-4	-0.3218
7833	3	1021321	-396	-3.877e-4	-1.1083
7834	2	255297	-56	-2.194e-4	-0.1567
7835	2	510530	-771	-1.510e-3	-2.1581
7837	2	510398	245	4.800e-4	0.6859
7838	2	255167	-704	-2.759e-3	-1.9709
7841	1	255069	554	2.172e-3	1.5513
7842	3	510074	-863	-1.692e-3	-2.4167
7843	3	1020018	65	6.372e-5	0.1820
7845	3	1019758	-2529	-2.480e-3	-7.0835
7846	2	254907	-324	-1.271e-3	-0.9075
7847	3	1019498	693	6.797e-4	1.9413
7849	2	509619	-686	-1.346e-3	-1.9219
7851	2	509489	16	3.140e-5	0.0448
7853	1	254679	50	1.963e-4	0.1401
7854	5	2037177	-256	-1.257e-4	-0.7174
7855	2	509230	1235	2.425e-3	3.4613
7858	2	254517	34	1.336e-4	0.0953
7859	2	508970	-821	-1.613e-3	-2.3016
7861	2	508841	-242	-4.756e-4	-0.6785
7862	2	254389	-304	-1.195e-3	-0.8524
7863	2	508711	1612	3.169e-3	4.5202
7867	1	254227	12	4.720e-5	0.0337
7869	3	1016647	-294	-2.892e-4	-0.8247
7870	3	508259	-310	-6.099e-4	-0.8697
7871	2	508195	-932	-1.834e-3	-2.6148
7873	1	254033	-130	-5.117e-4	-0.3648
7874	3	508001	560	1.102e-3	1.5714
7877	1	253903	380	1.497e-3	1.0665
7878	4	1015487	-620	-6.105e-4	-1.7402
7879	1	253839	236	9.297e-4	0.6624
7881	3	1015100	-577	-5.684e-4	-1.6198
7882	3	507486	-623	-1.228e-3	-1.7491
7883	1	253711	-28	-1.104e-4	-0.0786
7885	3	1014585	472	4.652e-4	1.3254
7886	2	253614	-525	-2.070e-3	-1.4743
7887	3	1014327	554	5.462e-4	1.5558
7890	4	1013941	-1390	-1.371e-3	-3.9044
7891	2	506907	-90	-1.775e-4	-0.2528
7894	2	253357	-374	-1.476e-3	-1.0508
7895	2	506650	1373	2.710e-3	3.8579
7897	2	506521	-474	-9.358e-4	-1.3320
7898	3	506458	-443	-8.747e-4	-1.2450
7899	2	506393	828	1.635e-3	2.3271
7901	1	253133	518	2.046e-3	1.4560
7903	2	506138	661	1.306e-3	1.8582
7905	4	2024035	1262	6.235e-4	3.5482
7906	3	505945	-814	-1.609e-3	-2.2888
7907	1	252941	242	9.567e-4	0.6805
7909	2	505753	422	8.344e-4	1.1868
7910	4	1011378	-173	-1.711e-4	-0.4866
7913	2	505498	-805	-1.592e-3	-2.2645
7914	3	505434	345	6.826e-4	0.9705
7915	2	505370	-707	-1.399e-3	-1.9890
7917	4	2020967	624	3.088e-4	1.7558
7918	3	505178	483	9.561e-4	1.3591
7919	1	252557	-190	-7.523e-4	-0.5347
7922	3	504923	-40	-7.922e-5	-0.1126
7923	3	1009718	-387	-3.833e-4	-1.0893
7926	3	504669	-432	-8.560e-4	-1.2162
7927	1	252303	198	7.848e-4	0.5575
7930	4	1008828	303	3.003e-4	0.8533
7931	3	1008700	-657	-6.513e-4	-1.8502
7933	1	252111	326	1.293e-3	0.9182
7934	2	252079	620	2.460e-3	1.7464
7937	1	251985	158	6.270e-4	0.4451
7939	2	503842	43	8.534e-5	0.1212
7941	2	503715	-798	-1.584e-3	-2.2487
7945	3	1006923	-1010	-1.003e-3	-2.8469
7946	3	503398	-1169	-2.322e-3	-3.2953
7949	1	251603	148	5.882e-4	0.4173
7951	1	251541	-142	-5.645e-4	-0.4004
7953	3	1005910	-941	-9.355e-4	-2.6537
7954	3	502891	902	1.794e-3	2.5439
7955	3	1005657	-1384	-1.376e-3	-3.9035
7957	2	502702	-1015	-2.019e-3	-2.8631
7958	3	502638	-333	-6.625e-4	-0.9394
7959	3	1005151	-152	-1.512e-4	-0.4288
7961	2	502450	-197	-3.921e-4	-0.5558
7962	3	502386	-1413	-2.813e-3	-3.9871
7963	1	251161	-168	-6.689e-4	-0.4741
7966	3	502134	355	7.070e-4	1.0020
7967	2	502071	186	3.705e-4	0.5250
7969	2	501946	47	9.364e-5	0.1327
7970	3	501882	-661	-1.317e-3	-1.8661
7971	2	501819	136	2.710e-4	0.3840
7973	3	1003387	-104	-1.036e-4	-0.2937
7977	2	501442	-17	-3.390e-5	-0.0480
7978	2	250689	-598	-2.385e-3	-1.6891
7979	2	501315	-376	-7.500e-4	-1.0621
7981	2	501190	857	1.710e-3	2.4211
7982	3	501127	80	1.596e-4	0.2260
7985	2	500939	-868	-1.733e-3	-2.4528
7989	2	500689	680	1.358e-3	1.9220
7990	4	1001251	-1198	-1.197e-3	-3.3863
7991	2	500562	-195	-3.896e-4	-0.5512
7993	1	250219	-254	-1.015e-3	-0.7181
7994	3	500375	-374	-7.474e-4	-1.0574
7995	4	2001250	659	3.293e-4	1.8634
7997	2	500187	-732	-1.463e-3	-2.0700
7998	4	1000251	-538	-5.379e-4	-1.5215
7999	2	500062	13	2.600e-5	0.0368
8002	2	249937	144	5.761e-4	0.4073
8003	2	499813	-784	-1.569e-3	-2.2179
8005	2	499687	1378	2.758e-3	3.8988
8006	2	249813	-112	-4.483e-4	-0.3169
8007	3	999126	-2415	-2.417e-3	-6.8336
8009	1	249719	150	6.007e-4	0.4245
8011	1	249657	534	2.139e-3	1.5114
8013	2	499189	-2	-4.006e-6	-0.0057
8014	2	249563	-520	-2.084e-3	-1.4721
8015	3	998129	876	8.776e-4	2.4800
8017	1	249469	430	1.724e-3	1.2175
8018	3	498877	-586	-1.175e-3	-1.6593
8021	2	498691	-460	-9.224e-4	-1.3028
8022	4	997258	477	4.783e-4	1.3510
8023	2	498567	72	1.444e-4	0.2039
8026	2	249191	-304	-1.220e-3	-0.8612
8027	2	498319	1000	2.007e-3	2.8332
8029	3	996388	217	2.178e-4	0.6149
8030	4	996265	200	2.007e-4	0.5667
8031	2	498070	-395	-7.931e-4	-1.1194
8033	2	497946	-343	-6.888e-4	-0.9721
8034	4	995767	730	7.331e-4	2.0691
8035	2	497822	415	8.336e-4	1.1764
8038	2	248819	-274	-1.101e-3	-0.7768
8039	1	248787	604	2.428e-3	1.7125
8041	3	994901	776	7.800e-4	2.2005
8042	2	248695	508	2.043e-3	1.4406
8043	3	994655	-482	-4.846e-4	-1.3670
8045	2	497203	86	1.730e-4	0.2439
8047	2	497079	-1124	-2.261e-3	-3.1885
8049	2	496957	-438	-8.814e-4	-1.2426
8051	2	496834	907	1.826e-3	2.5735
8053	1	248355	-610	-2.456e-3	-1.7310
8054	2	248323	52	2.094e-4	0.1476
8057	2	496463	114	2.296e-4	0.3236
8058	4	992802	-1351	-1.361e-3	-3.8350
8059	1	248169	-240	-9.671e-4	-0.6813
8061	2	496217	808	1.628e-3	2.2941
8062	3	496154	393	7.921e-4	1.1159
8063	2	496093	-96	-1.935e-4	-0.2726
8065	2	495970	-21	-4.234e-5	-0.0596
8066	3	495909	-970	-1.956e-3	-2.7549
8067	2	495847	-852	-1.718e-3	-2.4199
8069	1	247863	-128	-5.164e-4	-0.3636
8070	4	991326	1867	1.883e-3	5.3037
8071	2	495602	37	7.466e-5	0.1051
8074	3	495418	601	1.213e-3	1.7077
8077	2	495234	-1047	-2.114e-3	-2.9756
8078	3	495173	-830	-1.676e-3	-2.3590
8079	2	495111	932	1.882e-3	2.6491
8081	1	247495	-40	-1.616e-4	-0.1137
8083	2	494866	-197	-3.981e-4	-0.5601
8086	3	494682	1223	2.472e-3	3.4777
8087	1	247311	-176	-7.117e-4	-0.5005
8089	1	247249	-80	-3.236e-4	-0.2275
8090	3	494438	745	1.507e-3	2.1190
8093	1	247127	514	2.080e-3	1.4622
8094	4	988387	948	9.591e-4	2.6971
8095	2	494133	1140	2.307e-3	3.2435
8097	2	494010	245	4.959e-4	0.6972
8098	2	246975	-358	-1.450e-3	-1.0188
8099	3	987778	-511	-5.173e-4	-1.4542
8101	1	246883	196	7.939e-4	0.5579
8102	2	246853	512	2.074e-3	1.4574
8103	3	987289	382	3.869e-4	1.0874
8105	2	493523	482	9.767e-4	1.3722
8106	4	986923	1496	1.516e-3	4.2593
8110	3	493218	-143	-2.899e-4	-0.4072
8111	1	246579	-192	-7.787e-4	-0.5468
8113	3	986071	-944	-9.573e-4	-2.6888
8114	2	246487	-52	-2.110e-4	-0.1481
8115	3	985828	1157	1.174e-3	3.2959
8117	1	246397	-336	-1.364e-3	-0.9573
8119	2	492671	-380	-7.713e-4	-1.0828
8121	2	492550	81	1.645e-4	0.2308
8122	3	492490	-629	-1.277e-3	-1.7926
8123	1	246215	74	3.006e-4	0.2109
8126	3	492246	25	5.079e-5	0.0713
8129	2	492066	59	1.199e-4	0.1682
8130	4	984010	2477	2.517e-3	7.0627
8131	2	491946	-355	-7.216e-4	-1.0123
8133	2	491823	804	1.635e-3	2.2929
8135	2	491702	-907	-1.845e-3	-2.5869
8137	2	491581	538	1.094e-3	1.5347
8138	3	491522	491	9.989e-4	1.4007
8139	2	491461	272	5.535e-4	0.7760
8141	2	491341	-302	-6.146e-4	-0.8617
8142	4	982559	-84	-8.549e-5	-0.2397
8143	2	491219	-246	-5.008e-4	-0.7020
8146	2	245519	170	6.924e-4	0.4852
8147	1	245489	282	1.149e-3	0.8049
8149	2	490858	-199	-4.054e-4	-0.5681
8151	4	1962950	1961	9.990e-4	5.5986
8153	2	490618	301	6.135e-4	0.8595
8155	3	980993	-2660	-2.712e-3	-7.5962
8157	2	490377	352	7.178e-4	1.0053
8158	2	245159	150	6.118e-4	0.4284
8159	2	490257	-62	-1.265e-4	-0.1771
8161	1	245069	44	1.795e-4	0.1257
8162	4	980151	1254	1.279e-3	3.5826
8165	3	979791	652	6.654e-4	1.8631
8166	3	489835	24	4.900e-5	0.0686
8167	1	244887	604	2.466e-3	1.7261
8169	3	979313	-362	-3.696e-4	-1.0346
8170	4	979193	1104	1.127e-3	3.1556
8171	1	244769	-186	-7.599e-4	-0.5317
8173	2	489417	-200	-4.086e-4	-0.5718
8174	3	489357	700	1.430e-3	2.0013
8177	3	978356	-1535	-1.569e-3	-4.3894
8178	4	978234	1261	1.289e-3	3.6061
8179	1	244529	520	2.127e-3	1.4871
8182	2	244439	156	6.382e-4	0.4462
8185	2	488698	-65	-1.330e-4	-0.1860
8186	2	244319	88	3.602e-4	0.2518
8187	2	488579	456	9.333e-4	1.3047
8189	2	488461	70	1.433e-4	0.2003
8191	1	244171	458	1.876e-3	1.3108
8193	2	488222	-193	-3.953e-4	-0.5524
8194	3	488162	-507	-1.039e-3	-1.4513
8195	3	976205	-1580	-1.619e-3	-4.5231
8197	2	487982	549	1.125e-3	1.5718
8198	2	243961	-256	-1.049e-3	-0.7330
8201	2	487745	106	2.173e-4	0.3036
8202	3	487686	-255	-5.229e-4	-0.7303
8203	2	487626	465	9.536e-4	1.3318
8205	3	975015	-2146	-2.201e-3	-6.1471
8206	3	487449	-46	-9.437e-5	-0.1318
8207	2	487389	106	2.175e-4	0.3037
8209	1	243635	272	1.116e-3	0.7793
8210	3	487210	417	8.559e-4	1.1948
8211	4	1948607	-1556	-7.985e-4	-4.4587
8213	2	487033	-216	-4.435e-4	-0.6190
8215	3	973829	1582	1.625e-3	4.5343
8218	3	486737	812	1.668e-3	2.3278
8219	1	243339	260	1.068e-3	0.7454
8221	1	243279	362	1.488e-3	1.0379
8222	2	243249	-112	-4.604e-4	-0.3211
8223	2	486441	794	1.632e-3	2.2769
8227	2	486203	-210	-4.319e-4	-0.6023
8229	3	972171	-1032	-1.062e-3	-2.9604
8230	3	486027	-1306	-2.687e-3	-3.7466
8231	1	242983	-4	-1.646e-5	-0.0115
8233	1	242925	464	1.910e-3	1.3314
8234	3	485791	284	5.846e-4	0.8149
8237	1	242807	-40	-1.647e-4	-0.1148
8238	3	485555	348	7.167e-4	0.9988
8239	3	970991	614	6.323e-4	1.7624
8241	3	970756	-941	-9.693e-4	-2.7013
8242	3	485319	-1070	-2.205e-3	-3.0719
8243	1	242631	250	1.030e-3	0.7178
8245	3	970285	-1198	-1.235e-3	-3.4400
8246	4	970167	362	3.731e-4	1.0395
8247	2	485025	344	7.092e-4	0.9879
8249	2	484906	47	9.693e-5	0.1350
8251	2	484790	7	1.444e-5	0.0201
8254	2	242307	102	4.210e-4	0.2930
8255	3	969110	-1645	-1.697e-3	-4.7263
8257	2	484437	410	8.463e-4	1.1781
8258	2	242189	-210	-8.671e-4	-0.6035
8259	2	484321	474	9.787e-4	1.3622
8261	2	484202	-1141	-2.356e-3	-3.2795
8263	1	242043	-96	-3.966e-4	-0.2760
8265	4	1935874	-1605	-8.291e-4	-4.6142
8266	2	241955	-232	-9.589e-4	-0.6670
8267	2	483851	40	8.267e-5	0.1150
8269	1	241867	160	6.615e-4	0.4601
8270	3	483675	396	8.187e-4	1.1388
8273	1	241751	650	2.689e-3	1.8696
8274	4	966884	-1403	-1.451e-3	-4.0357
8277	3	966534	333	3.445e-4	0.9580
8278	2	241605	-362	-1.498e-3	-1.0415
8279	2	483150	1209	2.502e-3	3.4787
8282	3	482975	-112	-2.319e-4	-0.3223
8283	3	965833	242	2.506e-4	0.6965
8285	2	482801	-672	-1.392e-3	-1.9343
8286	3	482742	-71	-1.471e-4	-0.2044
8287	1	241341	78	3.232e-4	0.2245
8290	3	482510	485	1.005e-3	1.3964
8291	1	241225	-10	-4.146e-5	-0.0288
8293	1	241167	86	3.566e-4	0.2477
8294	4	964553	1270	1.317e-3	3.6575
8295	4	1928873	1752	9.083e-4	5.0459
8297	1	241051	-394	-1.635e-3	-1.1349
8299	2	481986	-331	-6.867e-4	-0.9535
8301	2	481870	-659	-1.368e-3	-1.8987
8302	3	481811	-870	-1.806e-3	-2.5067
8305	3	963274	-1627	-1.689e-3	-4.6888
8306	2	240789	24	9.967e-5	0.0692
8309	2	481405	460	9.555e-4	1.3260
8310	4	962695	-6	-6.233e-6	-0.0173
8311	1	240645	-144	-5.984e-4	-0.4151
8313	3	962348	-949	-9.861e-4	-2.7362
8314	2	240559	-114	-4.739e-4	-0.3287
8315	2	481058	-659	-1.370e-3	-1.9003
8317	1	240471	348	1.447e-3	1.0036
8318	2	240443	-368	-1.531e-3	-1.0613
8319	3	961655	-754	-7.841e-4	-2.1747
8321	2	480710	-117	-2.434e-4	-0.3375
8322	4	961307	-160	-1.664e-4	-0.4616
8323	3	961191	0	0.000e0	0.0000
8326	3	480423	776	1.615e-3	2.2391
8327	2	480366	93	1.936e-4	0.2684
8329	1	240125	450	1.874e-3	1.2987
8331	2	480134	23	4.790e-5	0.0664
8333	2	480019	294	6.125e-4	0.8487
8335	2	479905	110	2.292e-4	0.3176
8337	3	959578	185	1.928e-4	0.5342
8338	3	479731	-478	-9.964e-4	-1.3803
8339	2	479674	247	5.149e-4	0.7133
8341	2	479558	-409	-8.529e-4	-1.1812
8342	3	479502	279	5.819e-4	0.8058
8345	2	479329	554	1.156e-3	1.6004
8346	4	958542	263	2.744e-4	0.7598
8347	2	479214	-569	-1.187e-3	-1.6439
8351	2	478985	-248	-5.178e-4	-0.7167
8353	1	239435	100	4.176e-4	0.2890
8354	2	239407	-760	-3.175e-3	-2.1966
8355	3	957510	-1081	-1.129e-3	-3.1246
8357	2	478642	-537	-1.122e-3	-1.5524
8358	4	957166	679	7.094e-4	1.9630
8359	2	478526	755	1.578e-3	2.1829
8362	3	478355	130	2.718e-4	0.3759
8363	1	239149	114	4.767e-4	0.3297
8365	3	956365	1864	1.949e-3	5.3911
8366	3	478126	67	1.401e-4	0.1938
8367	2	478069	136	2.845e-4	0.3934
8369	1	238977	2	8.369e-6	0.0058
8371	2	477841	-460	-9.627e-4	-1.3309
8373	2	477726	325	6.803e-4	0.9404
8374	3	477670	-283	-5.925e-4	-0.8189
8377	1	238749	-14	-5.864e-5	-0.0405
8378	3	477442	-717	-1.502e-3	-2.0753
8382	4	954425	-1122	-1.176e-3	-3.2484
8383	2	477157	188	3.940e-4	0.5443
8385	4	1908169	-1644	-8.616e-4	-4.7605
8386	3	476986	487	1.021e-3	1.4103
8387	1	238465	402	1.686e-3	1.1642
8389	1	238407	-454	-1.904e-3	-1.3150
8390	3	476758	-421	-8.830e-4	-1.2194
8391	2	476701	-1478	-3.100e-3	-4.2814
8393	3	953175	8	8.393e-6	0.0232
8394	3	476531	-560	-1.175e-3	-1.6225
8395	3	952948	51	5.352e-5	0.1478
8398	4	952607	-288	-3.023e-4	-0.8346
8399	2	476246	-487	-1.023e-3	-1.4114
8401	2	476134	139	2.919e-4	0.4029
8402	2	238039	-456	-1.916e-3	-1.3218
8403	2	476021	-76	-1.597e-4	-0.2203
8407	2	475794	677	1.423e-3	1.9629
8409	2	475681	64	1.345e-4	0.1856
8411	2	475567	-1188	-2.498e-3	-3.4454
8413	2	475454	-529	-1.113e-3	-1.5344
8414	3	475398	-387	-8.141e-4	-1.1226
8417	2	475229	-462	-9.722e-4	-1.3404
8418	4	950346	1335	1.405e-3	3.8733
8419	1	237557	332	1.398e-3	0.9633
8421	3	950006	-423	-4.453e-4	-1.2275
8422	2	237473	-388	-1.634e-3	-1.1260
8423	1	237445	-212	-8.928e-4	-0.6153
8426	3	474721	-1348	-2.840e-3	-3.9129
8429	1	237277	-256	-1.079e-3	-0.7432
8430	4	948991	1866	1.966e-3	5.4178
8431	1	237219	328	1.383e-3	0.9524
8434	2	237135	-786	-3.315e-3	-2.2827
8435	3	948429	120	1.265e-4	0.3485
8437	3	948204	63	6.644e-5	0.1830
8438	2	237023	-190	-8.016e-4	-0.5519
8439	3	947980	-1657	-1.748e-3	-4.8136
8441	2	473878	207	4.368e-4	0.6014
8443	1	236883	-442	-1.866e-3	-1.2843
8445	3	947305	-926	-9.775e-4	-2.6910
8446	3	473598	-377	-7.960e-4	-1.0956
8447	1	236771	-64	-2.703e-4	-0.1860
8449	3	946858	609	6.432e-4	1.7702
8453	2	473205	-294	-6.213e-4	-0.8548
8454	3	473149	152	3.213e-4	0.4420
8455	3	946185	-612	-6.468e-4	-1.7795
8457	2	472981	1214	2.567e-3	3.5304
8458	2	236463	-138	-5.836e-4	-0.4013
8459	2	472870	619	1.309e-3	1.8003
8461	1	236379	-576	-2.437e-3	-1.6755
