# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
1633	2	2449478	-1013	-4.136e-4	-1.2945
1634	3	2447981	1440	5.882e-4	1.8407
1635	3	4892966	969	1.980e-4	1.2390
1637	1	1221747	2022	1.655e-3	2.5871
1639	2	2440513	-1718	-7.040e-4	-2.1994
1641	2	2437538	-1423	-5.838e-4	-1.8229
1642	2	1218027	-1060	-8.703e-4	-1.3583
1643	2	2434571	368	1.512e-4	0.4717
1645	3	4863222	-2759	-5.673e-4	-3.5386
1646	2	1215067	500	4.115e-4	0.6415
1649	2	2425713	-844	-3.479e-4	-1.0838
1651	2	2422774	-1181	-4.875e-4	-1.5175
1653	3	4839685	-954	-1.971e-4	-1.2265
1654	2	1209189	-50	-4.135e-5	-0.0643
1655	2	2416919	486	2.011e-4	0.6252
1657	1	1207001	454	3.761e-4	0.5844
1658	2	1206273	-1422	-1.179e-3	-1.8310
1659	3	4822183	1458	3.024e-4	1.8779
1661	2	2408187	-1222	-5.074e-4	-1.5749
1662	3	2406739	1424	5.917e-4	1.8358
1663	1	1202645	532	4.424e-4	0.6861
1667	1	1199761	2090	1.742e-3	2.6984
1669	1	1198323	684	5.708e-4	0.8837
1670	3	2395209	-1648	-6.880e-4	-2.1297
1671	2	2393777	-466	-1.947e-4	-0.6024
1673	2	2390914	769	3.216e-4	0.9947
1677	3	4770423	-816	-1.711e-4	-1.0567
1678	2	1191895	-1532	-1.285e-3	-1.9845
1679	2	2382371	-1590	-6.674e-4	-2.0603
1685	2	2373887	-4416	-1.860e-3	-5.7323
1686	3	2372479	862	3.633e-4	1.1193
1687	2	2371073	-236	-9.953e-5	-0.3065
1689	2	2368265	1530	6.460e-4	1.9884
1691	2	2365465	-388	-1.640e-4	-0.5045
1693	1	1181335	168	1.422e-4	0.2186
1695	3	4719764	-1715	-3.634e-4	-2.2328
1697	1	1178551	1016	8.621e-4	1.3235
1698	3	2355713	1344	5.705e-4	1.7513
1699	1	1177163	322	2.735e-4	0.4197
1702	3	2350177	-886	-3.770e-4	-1.1559
1703	2	2348797	-1062	-4.521e-4	-1.3859
1705	3	4692082	-1345	-2.867e-4	-1.7562
1706	2	1172333	-252	-2.150e-4	-0.3291
1707	2	2343293	2690	1.148e-3	3.5145
1709	1	1170275	668	5.708e-4	0.8733
1711	2	2337814	-963	-4.119e-4	-1.2597
1713	2	2335085	510	2.184e-4	0.6675
1714	2	1166861	-1130	-9.684e-4	-1.4794
1717	2	2329646	2063	8.855e-4	2.7032
1718	2	1164145	-1206	-1.036e-3	-1.5807
1721	1	1162115	1920	1.652e-3	2.5188
1722	4	4645762	381	8.201e-5	0.5000
1723	1	1160767	644	5.548e-4	0.8453
1726	2	1158749	-122	-1.053e-4	-0.1603
1727	2	2316155	-2154	-9.300e-4	-2.8307
1729	3	4626952	1669	3.607e-4	2.1946
1730	3	2312139	-1656	-7.162e-4	-2.1781
1731	2	2310803	-118	-5.106e-5	-0.1552
1733	1	1154069	522	4.523e-4	0.6872
1735	2	2305475	-2964	-1.286e-3	-3.9042
1738	3	2301495	82	3.563e-5	0.1081
1739	2	2300173	-342	-1.487e-4	-0.4510
1741	1	1148765	1066	9.280e-4	1.4066
1742	3	2296211	2230	9.712e-4	2.9433
1743	3	4589788	-797	-1.736e-4	-1.0522
1745	2	2292263	1114	4.860e-4	1.4716
1747	1	1144819	994	8.683e-4	1.3138
1749	3	4574041	3752	8.203e-4	4.9620
1751	2	2284410	-3771	-1.651e-3	-4.9900
1753	1	1140901	-1312	-1.150e-3	-1.7371
1754	2	1140251	-2652	-2.326e-3	-3.5123
1757	2	2276607	-2244	-9.857e-4	-2.9745
1758	3	2275313	1004	4.413e-4	1.3312
1759	1	1137009	1520	1.337e-3	2.0159
1761	2	2271437	1470	6.472e-4	1.9507
1762	2	1135073	-52	-4.581e-5	-0.0690
1763	2	2268858	-1007	-4.438e-4	-1.3371
1765	2	2266290	-1387	-6.120e-4	-1.8427
1766	2	1132503	-816	-7.205e-4	-1.0844
1767	3	4527447	2020	4.462e-4	2.6852
1769	2	2261165	1002	4.431e-4	1.3327
1770	4	4519774	2627	5.812e-4	3.4950
1771	3	4517222	-3571	-7.905e-4	-4.7522
1774	2	1127395	-1372	-1.217e-3	-1.8274
1777	1	1125493	670	5.953e-4	0.8931
1778	3	2249718	2303	1.024e-3	3.0709
1779	2	2248454	907	4.034e-4	1.2097
1781	2	2245930	-503	-2.240e-4	-0.6713
1783	1	1121705	1256	1.120e-3	1.6771
1785	4	8963585	-3652	-4.074e-4	-4.8792
1786	3	2239642	-359	-1.603e-4	-0.4798
1787	1	1119195	-348	-3.109e-4	-0.4652
1789	1	1117943	18	1.610e-5	0.0241
1790	3	2234638	1039	4.650e-4	1.3901
1793	2	2230898	1059	4.747e-4	1.4180
1794	4	4459309	1410	3.162e-4	1.8886
1795	2	2228413	1610	7.225e-4	2.1570
1797	2	2225933	2212	9.937e-4	2.9652
1798	3	2224695	1186	5.331e-4	1.5903
1799	2	2223458	-1059	-4.763e-4	-1.4204
